LVA_FWD_Ring_to_LVA_Ring,Elm 6000:6071
Thrust_Cylinder_to_LVA_FWD_Rings,Elm 7000:7287
LVA_RWD_Ring_to_Rear_Bulkhead,Elm 2019:2056
Thrust_Cylinder_to_Middle_Bulkhead,Elm 1884:1919 1929 1939:1947
Thrust_Cylinder_to_Shear_Panels,Elm 1920:1928 1930:1938 1950:1952 1954 1955 1957:1962 1964 1966:1975 1987 1988 1990:1992 1994:1999 2001 2090 2091 2093 2094 2096 2097 2099 2100 4128:4136 4193:4196 4189:4192
Shear_Panels_to_Rear_Aeroshell,Elm 3382:3410 3417:3443 3452:3480 3489:3515 3562
Avionic_Panels_to_Rear_Aeroshell,Elm 2102:2119 2125:2133 2138:2156 2162:2178 2183:2186 3978:3982 3990:4025
Shear_Panels_to_Avionic_Panels,Elm 4123:4125 4027 4118 4119 4122:4120:-1 4126 4026 4127
Shear_Panels_to_Middle_and_Rear_Bulkheads,Elm 3481:3485 3411 3976 3977 3413 3976 3977 2101 3444:3447 2095 3516:3519 4102:4105 3412 2095 3516:3519 4113:4116 4098:4101 4106:4110 4110:4112 4110 4111 4110 4117 4110
Lower_Shear_Panels_to_Flaps,Elm 1000:1003 2723:2726 2741:2744
Cylinder_to_Flaps_Supports,Elm 3673 3672 3668 3669 3671 3670 3667 3666 3663 3662 3665 3664 3653:3650:-1 3655 3654 3658 3659 3657 3656 3660 3661
Cylinder_to_Struts_Brackets,Elm 1847176:1847179 1847172 1847174 1847175 1847172:1847175 1847168:1847171 1847164:1847167 1847160:1847163
Middle_Bulkhead_to_Aeroshell,Elm 155300:155305 155308:155313 155316:155339 155400:155405 155408:155413 155416:155449
Lower_to_Upper_FWD_Aeroshell,Elm 6011535:6011538 6015700:6015723
Front_Bulkhead_to_Aeroshell,Elm 250352:250365
Aeroshell_to_Cargo_Bay,Elm 3030003 3032014 3032015 3030000 3032016 3032018:3032021 3030001 3032022:3032025 3030002 3032026 3032027 3030004 3032000 3032001 3030005 3032003 3030005 3032003 3030005 3032003:3032005 3030006 3032006 3032007 3030006 3032006 3032007 3032009 3032008 3032009 3032005 3032003 3032009 3032008 3032010 3032011 3032010 3032013 3030007 3032012 3030007 3032012 3030005 3032003:3032005 3030006 3032004:3032007 3030006 3032006:3032011 3030007 3032010:3032013 3030003 3032014 3032015 3030000 3032016 3032018 3032019 3030006 3032006 3032007 3030006 3032006:3032009 3030006 3032008:3032011 3030007 3032010:3032013 3030005 3032003:3032005 3030006 3032006 3032007 3030004 3032000 3032001 3033006:3033008 3033010 3033011 3033009 3033005:3033000:-1 3034000:3034031
Aeroshell_to_Parachute_Bay,Elm 370000:370017
Parachute_Bulkhead_to_Aeroshell,Elm 201600:201604 201607:201619
Rear_Bulkhead_to_Aeroshell,Elm 2527 2525:2537
Wedges_to_Aeroshell,Elm 3548:3571 6011539 6011540 6011545 6011546 6011551 6011552 6011557 6011558 6011564 6011566:6011570 6012008 6012009 6015764:6015771
Bridle_Channels_to_Upper_FWD_Aeroshell,Elm 6011571:6011614 6015724:6015733
Bridle_Channels_to_Rear_Aeroshell,Elm 3382:3410 3452:3480
Flaps_Support_to_Aeroshell,Elm 2556 2555 2569:2574 2557:2560 2559 2620 2619 2622 2624 2623 2621 2760 2759 2762 2761 2764 2763 2583 2584 2587 2588 2585 2586 2776 2777 2779 2778 2780 2781
Cargo_Bay_Beams_to_Parachute_Middle_Bulkhead,Elm 1004224:1004231
Cargo_Bay_Beams_to_Aeroshell,Elm 1005000:1005011
Hinge_TPS_to_Aeroshell,Elm 430000:430023
Parachute_Bay_to_Front_Bulkhead,Elm 360010:360014 369008:369013 369017:369023 369028
Parachute_Bay_to_Parachute_Bulkhead,Elm 360001:360005 369076:369087 369094 369095 369098 369099 360006:360009
Web_Panels_to_Parachute_Walls,Elm 1718594:1718603 1718625:1718631 1718677
Web_Panels_to_Parachute_Floor,Elm 1718604:1718608 1718632:1718637
LG_Brackets_to_Landing_Structure,Elm 368955:368968 1713140:1713151 1718638:1718645
Landing_Structure_to_Parachute_Walls,Elm 1717541 1717547:1717551 1717557:1717560
Parachute_Walls_to_Parachute_Floor,Elm 1717122:1717126 1717128:1717133 1717135:1717139
Parachute_Panel_Door_Brackets_to_Parachute_Bay,Elm 372450:372454 372456:372458 1718609:1718624
Parachute_Bridle_Cutters_to_Parachute_Bay,Elm 700013:700020 700046:700053
Parachute_Bridle_Cutters_to_Aeroshell,Elm 700006 700011 700012 700021:700032 700054:700065
Cargo_Bay_to_Parachute_Bulkhead,Elm 3000000:3000015 3000017:3000019 3000045:3000048
Cargo_Bay_to_Middle_Bulkhead,Elm 3000020 3000021 3000023 3000024 3000027 3000029 3000030 3000032:3000040 3000042 3000043 3000049 3000050 3035000:3035006:2 3035007 3400501:3400508 3400601:3400612
Vertical_Panel_Brackets_to_Vertical_Panel,Elm 3000054:3000077 3035032:3035107
Vertical_Panel_Brackets_to_Horizontal_Panels,Elm 3035108:3035135
Horizontal_Panels_to_Cargo_Bay_Walls,Elm 3035008:3035031
Cargo_Bay_Floor_to_Cargo_Bay_Walls,Elm 3013030:3013047
LG_Brackets_to_Cargo_Bay,Elm 3400000:3400007 3400100:3400111 3400200:3400251 3400301:3400318 3400400:3400405
Loop_Heating_Pipes,Elm 942000:942029 942031 942032 942036:942038 942043:942048 942050 942051 942053:942065 942100:942168
Rods_to_Rear_Bulkhead,Elm 1501048:1501053
Rods_to_Middle_Bulkhead,Elm 1501026:1501029 1501057 1501058 1501030:1501033 1501055 1501056
Nose_LG_Door,Elm 6500000:6500009
Main_LG_Doors,Elm 6018207:6018209 6018220:6018222
Parachute_Panel_IF,Elm 735171:735203 737166:737177
Parachute_Panel_Adaptors_to_Parachute_Bay,Elm 737178:737213
Parachute_Panel_to_Parachute_Panel_Adaptors,Elm 372441 372442 372444:372447
Cargo_Bay_Door,Elm 1961786 1961787 1961777 1961778
Empty_Group,Elm 1
